team_id,_fivetran_deleted,_fivetran_synced,activity_id,collective_name,gender,inserted_at,name,other_sources,season_id,team_level,updated_at,registration_code,school_activity_id,status
65,,2022-05-19T01:45:45.949Z,,team,girls,2022-04-06T19:07:00,Junior Varsity Girls,"[{""id"":""3b94f332-74d7-4e92-8acb-522a001f719c"",""source"":""rma"",""table_id"":""186265"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,51,active
72,,2022-05-19T01:45:45.949Z,,team,girls,2022-04-07T17:38:43,Junior Varsity Girls Volleyball,"[{""id"":""c4e16d7a-81f2-42bb-8e1a-0043e055dcd9"",""source"":""rma"",""table_id"":""186263"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,52,active
67,,2022-05-19T01:45:45.930Z,,team,girls,2022-04-06T19:36:19,Girls Tennis Registration,"[{""id"":""e1fa071f-a3ac-4ecc-a156-8509564e2c72"",""source"":""rma"",""table_id"":""98067"",""table_name"":""sports""}]",,other,2022-05-17T21:38:44,,54,active
63,,2022-05-19T01:45:45.950Z,,team,girls,2022-04-06T18:43:59,Junior Varsity Girls,"[{""id"":""458bde4a-8abe-4e88-8400-19006ac5b8bf"",""source"":""rma"",""table_id"":""186271"",""table_name"":""teams""}]",,junior_varsity,2022-05-17T21:38:44,,56,active
75,,2022-05-19T01:45:45.921Z,,team,girls,2022-04-20T19:45:49,Girls Golf Eligibility,"[{""id"":""87897cf8-31f2-44d3-9c3e-9d56c5587d64"",""source"":""rma"",""table_id"":""780"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,58,active
78,,2022-05-19T01:45:45.921Z,,team,girls,2022-04-20T19:45:49,Varsity Girls Basketball Roster,"[{""id"":""8021f674-e9e0-487a-9077-8a330d65727b"",""source"":""rma"",""table_id"":""15909"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,60,active
81,,2022-05-19T01:45:45.953Z,,team,girls,2022-04-20T20:10:45,Ridgeline Girls Varsity Basketball,"[{""id"":""4a48f6d5-4f1b-4219-bc2f-2957340f71c3"",""source"":""rma"",""table_id"":""16451"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,68,active
86,,2022-05-19T01:45:45.953Z,,team,girls,2022-04-20T20:10:45,Varsity and JV Match Playing Team,"[{""id"":""3ff938db-e23a-4e70-b36e-41927233acce"",""source"":""rma"",""table_id"":""181843"",""table_name"":""teams""}]",,other,2022-05-17T21:38:44,,69,active
84,,2022-05-19T01:45:45.954Z,,team,girls,2022-04-20T20:10:45,Varsity Girls Soccer,"[{""id"":""8f1213ed-425c-4a0f-b9b3-704f9a27094c"",""source"":""rma"",""table_id"":""166508"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,70,active
89,,2022-05-19T01:45:45.955Z,,team,girls,2022-04-20T20:42:42,Varsity,"[{""id"":""9383367e-3c25-4483-a40e-ccf43390f284"",""source"":""rma"",""table_id"":""3802"",""table_name"":""teams""}]",,varsity,2022-05-17T21:38:44,,75,active
97,,2022-05-19T01:45:45.956Z,,team,girls,2022-04-20T22:15:28,Bear River Girls Tennis,"[{""id"":""bf940644-c65b-49c6-9a76-2d9e7bf8e9f7"",""source"":""rma"",""table_id"":""165800"",""table_name"":""teams""}]",,other,2022-05-17T21:38:45,,83,active
